Subject,Predicate,Object
"Family Picnic","starts at","Sun Aug 31 11:00:00 PDT 2025"
"Family Picnic","location",""
"Family Movie Night","starts at","Sun Aug 24 19:00:00 PDT 2025"
"Family Movie Night","location",""
"Independence Day","starts at","Thu Jul 03 17:00:00 PDT 2025"
"Independence Day","location",""
"Juneteenth","starts at","Wed Jun 18 17:00:00 PDT 2025"
"Juneteenth","location",""
"Father's Day","starts at","Sat Jun 14 17:00:00 PDT 2025"
"Father's Day","location",""
"Flag Day","starts at","Fri Jun 13 17:00:00 PDT 2025"
"Flag Day","location",""
"Memorial Day","starts at","Sun May 25 17:00:00 PDT 2025"
"Memorial Day","location",""
"ASU-KIM-LAB weekly seminar","starts at","Wed May 21 11:00:00 PDT 2025"
"ASU-KIM-LAB weekly seminar","location",""
"Weekly Meeting (test)","starts at","Tue May 20 12:00:00 PDT 2025"
"Weekly Meeting (test)","location","Centerpoint on Mill, 660 S Mill Ave, Tempe, AZ 85281, USA"
"Deeksha busy","starts at","Tue May 20 10:30:00 PDT 2025"
"Deeksha busy","location","Centerpoint on Mill, 660 S Mill Ave, Tempe, AZ 85281, USA"
"Mother's Day","starts at","Sat May 10 17:00:00 PDT 2025"
"Mother's Day","location",""
"Cinco de Mayo","starts at","Sun May 04 17:00:00 PDT 2025"
"Cinco de Mayo","location",""
"Easter Monday","starts at","Sun Apr 20 17:00:00 PDT 2025"
"Easter Monday","location",""
"Easter Sunday","starts at","Sat Apr 19 17:00:00 PDT 2025"
"Easter Sunday","location",""
"Tax Day","starts at","Mon Apr 14 17:00:00 PDT 2025"
"Tax Day","location",""
"St. Patrick's Day","starts at","Sun Mar 16 17:00:00 PDT 2025"
"St. Patrick's Day","location",""
"Daylight Saving Time starts","starts at","Sat Mar 08 16:00:00 PST 2025"
"Daylight Saving Time starts","location",""
"Presidents' Day","starts at","Sun Feb 16 16:00:00 PST 2025"
"Presidents' Day","location",""
"Valentine's Day","starts at","Thu Feb 13 16:00:00 PST 2025"
"Valentine's Day","location",""
"Inauguration Day (regional holiday)","starts at","Sun Jan 19 16:00:00 PST 2025"
"Inauguration Day (regional holiday)","location",""
"Martin Luther King Jr. Day","starts at","Sun Jan 19 16:00:00 PST 2025"
"Martin Luther King Jr. Day","location",""
"National Day of Mourning for Jimmy Carter","starts at","Wed Jan 08 16:00:00 PST 2025"
"National Day of Mourning for Jimmy Carter","location",""
"New Year's Day","starts at","Tue Dec 31 16:00:00 PST 2024"
"New Year's Day","location",""
"New Year's Eve","starts at","Mon Dec 30 16:00:00 PST 2024"
"New Year's Eve","location",""
"Christmas Day","starts at","Tue Dec 24 16:00:00 PST 2024"
"Christmas Day","location",""
"Christmas Eve","starts at","Mon Dec 23 16:00:00 PST 2024"
"Christmas Eve","location",""
"Black Friday","starts at","Thu Nov 28 16:00:00 PST 2024"
"Black Friday","location",""
"Thanksgiving Day","starts at","Wed Nov 27 16:00:00 PST 2024"
"Thanksgiving Day","location",""
"Veterans Day","starts at","Sun Nov 10 16:00:00 PST 2024"
"Veterans Day","location",""
"Election Day (General Election)","starts at","Mon Nov 04 16:00:00 PST 2024"
"Election Day (General Election)","location",""
"Daylight Saving Time ends","starts at","Sat Nov 02 17:00:00 PDT 2024"
"Daylight Saving Time ends","location",""
"Halloween","starts at","Wed Oct 30 17:00:00 PDT 2024"
"Halloween","location",""
"Columbus Day","starts at","Sun Oct 13 17:00:00 PDT 2024"
"Columbus Day","location",""
"Labor Day","starts at","Sun Sep 01 17:00:00 PDT 2024"
"Labor Day","location",""
"Independence Day","starts at","Wed Jul 03 17:00:00 PDT 2024"
"Independence Day","location",""
"Juneteenth","starts at","Tue Jun 18 17:00:00 PDT 2024"
"Juneteenth","location",""
"Father's Day","starts at","Sat Jun 15 17:00:00 PDT 2024"
"Father's Day","location",""
"Flag Day","starts at","Thu Jun 13 17:00:00 PDT 2024"
"Flag Day","location",""
"Memorial Day","starts at","Sun May 26 17:00:00 PDT 2024"
"Memorial Day","location",""
